MJD;Year;Month;Day;Type;x_pole;sigma_x_pole;y_pole;sigma_y_pole;Type;UT1-UTC;sigma_UT1-UTC;LOD;sigma_LOD;Type;dPsi;sigma_dPsi;dEpsilon;sigma_dEpsilon;dX;sigma_dX;dY;sigma_dY
15019.500;1899;12;31;;-0.212818;0.053760;-0.097229;0.037446;;0.0000000;0.0000000;;;;-0.333677;0.126760;-0.065408;0.046343;;;;
15037.762;1900;01;18;;-0.047461;0.029853;-0.065631;0.023330;;0.0000000;0.0000000;;;;-0.193398;0.127676;0.017394;0.021636;;;;
15056.025;1900;02;06;;-0.112006;0.028504;-0.040467;0.024327;;0.0000000;0.0000000;;;;0.521675;0.123684;0.068013;0.029930;;;;
15074.287;1900;02;24;;-0.076710;0.021791;-0.009674;0.021233;;0.0000000;0.0000000;;;;0.352564;0.078239;0.072061;0.029062;;;;
15092.550;1900;03;14;;-0.099850;0.026908;-0.066660;0.025620;;0.0000000;0.0000000;;;;0.318962;0.097104;0.007820;0.057366;;;;
15110.812;1900;04;01;;-0.131173;0.039344;-0.072076;0.027851;;0.0000000;0.0000000;;;;0.232096;0.066951;0.093766;0.058547;;;;
15129.075;1900;04;20;;-0.087390;0.025660;-0.089427;0.024505;;0.0000000;0.0000000;;;;0.307133;0.066507;0.003862;0.042366;;;;
15147.337;1900;05;08;;-0.164078;0.026598;-0.131034;0.027439;;0.0000000;0.0000000;;;;0.317237;0.071973;0.026743;0.042837;;;;
15165.600;1900;05;26;;-0.151407;0.019173;-0.105838;0.020221;;0.0000000;0.0000000;;;;0.202192;0.096423;0.017399;0.023063;;;;
15183.862;1900;06;13;;-0.143764;0.021261;-0.179125;0.029817;;0.0000000;0.0000000;;;;-0.028123;0.129358;-0.012124;0.020663;;;;
15202.125;1900;07;02;;-0.124341;0.024357;-0.105747;0.019115;;0.0000000;0.0000000;;;;0.041669;0.127181;0.044334;0.017158;;;;
15220.387;1900;07;20;;-0.206229;0.021263;-0.144555;0.025505;;0.0000000;0.0000000;;;;-0.041788;0.102389;0.095807;0.029772;;;;
15238.650;1900;08;07;;-0.192711;0.025172;-0.095563;0.029564;;0.0000000;0.0000000;;;;0.002017;0.105331;0.044212;0.031575;;;;
15256.912;1900;08;25;;-0.190299;0.023335;-0.067717;0.020577;;0.0000000;0.0000000;;;;0.194828;0.076930;0.085772;0.045933;;;;
15275.175;1900;09;13;;-0.135718;0.022933;-0.081480;0.020157;;0.0000000;0.0000000;;;;0.269845;0.072594;0.075357;0.044405;;;;
15293.437;1900;10;01;;-0.153807;0.024518;0.030568;0.021592;;0.0000000;0.0000000;;;;0.181946;0.044492;-0.154452;0.052427;;;;
15311.700;1900;10;19;;-0.173818;0.022558;0.001034;0.018183;;0.0000000;0.0000000;;;;0.170594;0.039178;-0.072797;0.045202;;;;
15329.962;1900;11;06;;-0.257716;0.032834;-0.006499;0.028017;;0.0000000;0.0000000;;;;0.236454;0.094350;-0.162464;0.054953;;;;
15348.225;1900;11;25;;-0.209085;0.025040;0.046511;0.025197;;0.0000000;0.0000000;;;;0.088373;0.092346;-0.089729;0.055564;;;;
15366.487;1900;12;13;;-0.133145;0.034581;0.004905;0.026144;;0.0000000;0.0000000;;;;-0.039864;0.127792;-0.039118;0.041313;;;;
15384.750;1900;12;31;;-0.138242;0.027367;0.014255;0.024185;;0.0000000;0.0000000;;;;-0.228636;0.134455;-0.003944;0.038305;;;;
15403.012;1901;01;19;;-0.162602;0.024087;0.006609;0.023908;;0.0000000;0.0000000;;;;-0.262902;0.109076;-0.069779;0.020676;;;;
15421.275;1901;02;06;;-0.121242;0.025526;-0.000875;0.022222;;0.0000000;0.0000000;;;;0.356041;0.119705;-0.014506;0.031232;;;;
15439.537;1901;02;24;;-0.109773;0.028420;0.024691;0.024157;;0.0000000;0.0000000;;;;0.373538;0.100048;0.018214;0.036225;;;;
