year,deltaT,change in delta T,seconds per year,Delta TAI
-2000,46080,,,46047.97
-1900,43560,-2520,-25.20,43527.97
-1800,41040,-2520,-25.20,41007.97
-1700,38880,-2160,-21.60,38847.97
-1600,36720,-2160,-21.60,36687.97
-1500,34920,-1800,-18.00,34887.97
-1400,32760,-2160,-21.60,32727.97
-1300,30960,-1800,-18.00,30927.97
-1200,29160,-1800,-18.00,29127.97
-1100,27360,-1800,-18.00,27327.97
-1000,25560,-1800,-18.00,25527.97
-900,23760,-1800,-18.00,23727.97
-800,21960,-1800,-18.00,21927.97
-720,20370,-1590,-19.88,20337.97
-700,20050,-320,-16.00,20017.97
-600,18470,-1580,-15.80,18437.97
-500,16940,-1530,-15.30,16907.97
-400,15470,-1470,-14.70,15437.97
-300,14080,-1390,-13.90,14047.97
-200,12770,-1310,-13.10,12737.97
-100,11560,-1210,-12.10,11527.97
0,10440,-1120,-11.20,10407.97
100,9410,-1030,-10.30,9377.97
200,8420,-990,-9.90,8387.97
300,7480,-940,-9.40,7447.97
400,6540,-940,-9.40,6507.97
500,5590,-950,-9.50,5557.97
600,4650,-940,-9.40,4617.97
700,3760,-890,-8.90,3727.97
800,2940,-820,-8.20,2907.97
900,2230,-710,-7.10,2197.97
1000,1650,-580,-5.80,1617.97
1100,1220,-430,-4.30,1187.97
1200,910,-310,-3.10,877.97
1300,680,-230,-2.30,647.97
1400,480,-200,-2.00,447.97
1500,290,-190,-1.90,257.97
1600,109.5,-180.5,-1.81,77.47
1610,94,-15.5,-1.55,61.97
1620,80,-14,-1.40,47.97
1630,66,-14,-1.40,33.97
1640,54,-12,-1.20,21.97
1650,44,-10,-1.00,11.97
1660,35,-9,-0.90,2.97
1670,28,-7,-0.70,-4.03
1680,22,-6,-0.60,-10.03
1690,17,-5,-0.50,-15.03
1700,14,-3,-0.30,-18.03
1710,12,-2,-0.20,-20.03
1720,12,0,0.00,-20.03
1730,13,1,0.10,-19.03
1740,15,2,0.20,-17.03
1750,17,2,0.20,-15.03
1760,19,2,0.20,-13.03
1770,21,2,0.20,-11.03
1780,21,0,0.00,-11.03
1790,21,0,0.00,-11.03
1800,18.2,-2.8,-0.28,-13.83
1801,18,-0.199999999999999,-0.20,-14.03
1802,17.6,-0.399999999999999,-0.40,-14.43
1803,17.3,-0.300000000000001,-0.30,-14.73
1804,16.9,-0.400000000000002,-0.40,-15.13
1805,16.6,-0.299999999999997,-0.30,-15.43
1806,16.3,-0.300000000000001,-0.30,-15.73
1807,16,-0.300000000000001,-0.30,-16.03
1808,15.8,-0.199999999999999,-0.20,-16.23
1809,15.7,-0.100000000000001,-0.10,-16.33
1810,15.85,0.15,0.15,-16.18
1811,15.7,-0.15,-0.15,-16.33
1812,15.8,0.100000000000001,0.10,-16.23
1813,16,0.199999999999999,0.20,-16.03
1814,16.2,0.199999999999999,0.20,-15.83
1815,16.4,0.199999999999999,0.20,-15.63
1816,16.5,0.100000000000001,0.10,-15.53
1817,16.7,0.199999999999999,0.20,-15.33
1818,16.7,0,0.00,-15.33
1819,16.7,0,0.00,-15.33
1820,16.5,-0.199999999999999,-0.20,-15.53
1821,16.2,-0.300000000000001,-0.30,-15.83
1822,15.8,-0.399999999999999,-0.40,-16.23
1823,15.3,-0.5,-0.50,-16.73
1824,14.8,-0.5,-0.50,-17.23
1825,14.1,-0.700000000000001,-0.70,-17.93
1826,13.5,-0.6,-0.60,-18.53
1827,12.8,-0.699999999999999,-0.70,-19.23
1828,12.1,-0.700000000000001,-0.70,-19.93
1829,11.4,-0.699999999999999,-0.70,-20.63
1830,10.8,-0.6,-0.60,-21.23
1831,10.2,-0.600000000000001,-0.60,-21.83
1832,9.7,-0.5,-0.50,-22.33
1833,9.3,-0.399999999999999,-0.40,-22.73
1834,8.9,-0.4,-0.40,-23.13
1835,8.5,-0.4,-0.40,-23.53
1836,8.2,-0.300000000000001,-0.30,-23.83
1837,8,-0.199999999999999,-0.20,-24.03
1838,7.8,-0.2,-0.20,-24.23
1839,7.7,-0.1,-0.10,-24.33
1840,7.6,-0.100000000000001,-0.10,-24.43
1841,7.6,0,0.00,-24.43
1842,7.7,0.100000000000001,0.10,-24.33
1843,7.7,0,0.00,-24.33
1844,7.9,0.2,0.20,-24.13
1845,8,0.1,0.10,-24.03
1846,8.2,0.199999999999999,0.20,-23.83
1847,8.5,0.300000000000001,0.30,-23.53
1848,8.7,0.199999999999999,0.20,-23.33
1849,9,0.300000000000001,0.30,-23.03
1850,9.3,0.300000000000001,0.30,-22.73
1851,9.67,0.369999999999999,0.37,-22.36
1852,9.98,0.31,0.31,-22.05
1853,10.23,0.25,0.25,-21.8
1854,10.37,0.139999999999999,0.14,-21.66
1855,10.36,-0.01,-0.01,-21.67
1856,10.18,-0.18,-0.18,-21.85
1857,9.88,-0.299999999999999,-0.30,-22.15
1858,9.54,-0.340000000000002,-0.34,-22.49
1859,9.24,-0.299999999999999,-0.30,-22.79
1860,9.04,-0.200000000000001,-0.20,-22.99
1861,8.99,-0.049999999999999,-0.05,-23.04
1862,9.01,0.02,0.02,-23.02
1863,8.97,-0.039999999999999,-0.04,-23.06
1864,8.76,-0.210000000000001,-0.21,-23.27
1865,8.25,-0.51,-0.51,-23.78
1866,7.38,-0.87,-0.87,-24.65
1867,6.22,-1.16,-1.16,-25.81
1868,4.92,-1.3,-1.30,-27.11
1869,3.59,-1.33,-1.33,-28.44
1870,2.37,-1.22,-1.22,-29.66
1871,1.36,-1.01,-1.01,-30.67
1872,0.56,-0.8,-0.80,-31.47
1873,-0.1,-0.66,-0.66,-32.13
1874,-0.65,-0.55,-0.55,-32.68
1875,-1.13,-0.48,-0.48,-33.16
1876,-1.58,-0.45,-0.45,-33.61
1877,-2.01,-0.43,-0.43,-34.04
1878,-2.43,-0.42,-0.42,-34.46
1879,-2.83,-0.4,-0.40,-34.86
1880,-3.21,-0.38,-0.38,-35.24
1881,-3.58,-0.37,-0.37,-35.61
1882,-3.91,-0.33,-0.33,-35.94
1883,-4.17,-0.26,-0.26,-36.2
1884,-4.34,-0.17,-0.17,-36.37
1885,-4.39,-0.05,-0.05,-36.42
1886,-4.31,0.08,0.08,-36.34
1887,-4.14,0.17,0.17,-36.17
1888,-3.97,0.17,0.17,-36
1889,-3.86,0.11,0.11,-35.89
1890,-3.88,-0.02,-0.02,-35.91
1891,-4.07,-0.19,-0.19,-36.1
1892,-4.37,-0.3,-0.30,-36.4
1893,-4.69,-0.32,-0.32,-36.72
1894,-4.93,-0.239999999999999,-0.24,-36.96
1895,-5.02,-0.09,-0.09,-37.05
1896,-4.87,0.149999999999999,0.15,-36.9
1897,-4.48,0.39,0.39,-36.51
1898,-3.86,0.620000000000001,0.62,-35.89
1899,-3.02,0.84,0.84,-35.05
1900,-1.98,1.04,1.04,-34.01
1901,-0.75,1.23,1.23,-32.78
1902,0.62,1.37,1.37,-31.41
1903,2.06,1.44,1.44,-29.97
1904,3.51,1.45,1.45,-28.52
1905,4.92,1.41,1.41,-27.11
1906,6.24,1.32,1.32,-25.79
1907,7.49,1.25,1.25,-24.54
1908,8.7,1.21,1.21,-23.33
1909,9.9,1.2,1.20,-22.13
1910,11.14,1.24,1.24,-20.89
1911,12.43,1.29,1.29,-19.6
1912,13.75,1.32,1.32,-18.28
1913,15.06,1.31,1.31,-16.97
1914,16.32,1.26,1.26,-15.71
1915,17.48,1.16,1.16,-14.55
1916,18.52,1.04,1.04,-13.51
1917,19.44,0.920000000000002,0.92,-12.59
1918,20.25,0.809999999999999,0.81,-11.78
1919,20.98,0.73,0.73,-11.05
1920,21.62,0.640000000000001,0.64,-10.41
1921,22.19,0.57,0.57,-9.84
1922,22.69,0.5,0.50,-9.34
1923,23.12,0.43,0.43,-8.91
1924,23.49,0.369999999999997,0.37,-8.54
1925,23.79,0.300000000000001,0.30,-8.24
1926,24.02,0.23,0.23,-8.01
1927,24.2,0.18,0.18,-7.83
1928,24.32,0.120000000000001,0.12,-7.71
1929,24.39,0.07,0.07,-7.64
1930,24.42,0.030000000000001,0.03,-7.61
1931,24.41,-0.010000000000002,-0.01,-7.62
1932,24.38,-0.030000000000001,-0.03,-7.65
1933,24.32,-0.059999999999999,-0.06,-7.71
1934,24.25,-0.07,-0.07,-7.78
1935,24.16,-0.09,-0.09,-7.87
1936,24.08,-0.080000000000002,-0.08,-7.95
1937,24.04,-0.039999999999999,-0.04,-7.99
1938,24.06,0.02,0.02,-7.97
1939,24.17,0.110000000000003,0.11,-7.86
1940,24.43,0.259999999999998,0.26,-7.6
1941,24.83,0.399999999999999,0.40,-7.2
1942,25.35,0.520000000000003,0.52,-6.68
1943,25.92,0.57,0.57,-6.11
1944,26.51,0.59,0.59,-5.52
1945,27.05,0.539999999999999,0.54,-4.98
1946,27.51,0.460000000000001,0.46,-4.52
1947,27.89,0.379999999999999,0.38,-4.14
1948,28.24,0.349999999999998,0.35,-3.79
1949,28.58,0.34,0.34,-3.45
1950,28.93,0.350000000000001,0.35,-3.1
1950.5,29.12,0.190000000000001,0.38,-2.91
1951,29.32,0.199999999999999,0.40,-2.71
1951.5,29.52,0.199999999999999,0.40,-2.51
1952,29.7,0.18,0.36,-2.33
1952.5,29.86,0.16,0.32,-2.17
1953,30,0.140000000000001,0.28,-2.03
1953.5,30.11,0.109999999999999,0.22,-1.92
1954,30.2,0.09,0.18,-1.83
1954.5,30.3,0.100000000000001,0.20,-1.73
1955,30.41,0.109999999999999,0.22,-1.62
1955.5,30.56,0.149999999999999,0.30,-1.47
1956,30.76,0.200000000000003,0.40,-1.27
1956.5,31.03,0.27,0.54,-1
1957,31.34,0.309999999999999,0.62,-0.690000000000001
1957.5,31.68,0.34,0.68,-0.350000000000001
1958,32.03,0.350000000000001,0.70,0
1958.5,32.36,0.329999999999998,0.66,0.329999999999998
1959,32.65,0.289999999999999,0.58,0.619999999999997
1959.5,32.89,0.240000000000002,0.48,0.859999999999999
1960,33.07,0.18,0.36,1.04
1960.5,33.23,0.159999999999997,0.32,1.2
